userId,itemId
0,13
0,169
0,183
0,193
0,291
0,303
0,319
0,491
0,583
0,683
0,751
0,785
0,790
0,884
0,963
1,92
1,126
1,254
1,291
1,307
1,319
1,382
1,491
1,503
1,515
1,606
1,686
1,691
1,764
1,774
1,858
1,884
1,963
2,34
2,120
2,152
2,169
2,193
2,291
2,303
2,404
2,491
2,543
2,583
2,596
2,683
2,785
2,813
2,858
2,884
3,63
3,95
3,187
3,736
4,61
4,242
4,286
4,364
4,565
4,945
5,85
5,120
5,130
5,193
5,291
5,303
5,305
5,319
5,394
5,461
5,462
5,491
5,497
5,785
5,884
5,951
5,963
6,51
6,104
6,126
6,131
6,169
6,243
6,303
6,377
6,397
6,440
6,491
6,497
6,499
6,521
6,536
6,553
6,683
6,785
6,818
6,954
6,963
6,975
7,234
7,395
8,55
8,114
8,234
8,635
8,667
8,728
8,743
9,57
10,118
10,120
10,152
10,268
10,409
10,491
10,587
10,702
10,806
10,812
10,848
10,894
11,34
11,49
11,120
11,126
11,128
11,291
11,303
11,593
11,596
11,683
11,811
11,884
11,963
12,134
12,303
12,381
12,474
12,788
13,11
13,15
13,148
13,205
13,327
13,332
13,368
13,395
13,656
13,837
13,888
13,895
13,942
13,993
14,104
14,154
14,186
14,228
14,327
14,358
14,380
14,645
14,794
14,796
14,942
15,11
15,34
15,281
15,394
15,575
15,593
15,606
15,720
15,766
15,794
15,857
16,181
16,216
16,463
16,501
16,527
16,703
16,753
16,803
16,877
16,912
16,995
17,49
17,126
17,169
17,271
17,303
17,606
17,709
17,743
17,748
17,766
17,807
17,825
17,968
18,395
18,491
18,817
18,884
20,52
20,81
20,149
20,172
20,303
20,308
20,319
20,478
20,728
20,786
21,34
21,596
21,606
21,692
21,746
22,0
22,29
22,55
22,104
22,234
22,319
22,358
22,503
22,570
22,645
22,766
22,794
22,995
23,11
23,169
23,303
23,347
23,394
23,476
23,591
23,649
23,676
23,743
23,746
23,762
23,763
23,926
23,929
23,995
24,0
24,98
24,128
24,152
24,251
24,291
24,338
24,381
24,476
24,515
24,537
24,726
24,764
24,785
24,795
24,826
24,884
24,885
24,929
24,963
24,968
25,2
25,5
25,10
25,11
25,14
25,23
25,35
25,40
25,50
25,51
25,53
25,60
25,62
25,64
25,73
25,78
25,82
25,85
25,87
25,89
25,92
25,93
25,101
25,104
25,106
25,107
25,109
25,110
25,117
25,119
25,121
25,122
25,124
25,132
25,137
25,139
25,141
25,147
25,152
25,153
25,154
25,156
25,157
25,163
25,164
25,169
25,170
25,171
25,174
25,175
25,176
25,180
25,183
25,186
25,190
25,191
25,195
25,196
25,201
25,205
25,208
25,211
25,219
25,222
25,234
25,236
25,239
25,243
25,248
25,252
25,255
25,263
25,267
25,268
25,276
25,279
25,288
25,289
25,291
25,293
25,298
25,303
25,304
25,309
25,314
25,315
25,319
25,323
25,334
25,340
25,348
25,350
25,351
25,352
25,353
25,358
25,363
25,364
25,368
25,374
25,378
25,385
25,386
25,389
25,393
25,394
25,395
25,398
25,401
25,404
25,407
25,417
25,431
25,433
25,437
25,441
25,442
25,450
25,457
25,469
25,470
25,472
25,479
25,482
25,483
25,484
25,491
25,492
25,493
25,515
25,522
25,531
25,533
25,536
25,539
25,541
25,543
25,547
25,557
25,560
25,564
25,569
25,573
25,574
25,576
25,577
25,579
25,587
25,594
25,602
25,603
25,607
25,612
25,614
25,630
25,632
25,636
25,646
25,653
25,654
25,655
25,656
25,657
25,660
25,664
25,668
25,671
25,672
25,673
25,674
25,677
25,679
25,683
25,685
25,686
25,696
25,697
25,699
25,702
25,713
25,716
25,725
25,730
25,731
25,732
25,733
25,739
25,741
25,742
25,749
25,752
25,754
25,763
25,771
25,773
25,783
25,785
25,794
25,796
25,797
25,798
25,799
25,800
25,807
25,812
25,823
25,825
25,827
25,831
25,832
25,834
25,835
25,842
25,848
25,852
25,855
25,858
25,866
25,870
25,872
25,876
25,878
25,879
25,880
25,884
25,886
25,889
25,897
25,898
25,901
25,903
25,909
25,913
25,916
25,917
25,920
25,922
25,927
25,931
25,933
25,934
25,935
25,937
25,941
25,943
25,944
25,946
25,947
25,948
25,949
25,959
25,961
25,963
25,967
25,968
25,969
25,970
25,975
25,976
25,985
25,987
25,991
26,40
26,233
26,234
26,291
27,34
27,43
27,55
27,119
27,126
27,163
27,169
27,170
27,234
27,272
27,292
27,311
27,352
27,355
27,378
27,382
27,394
27,404
27,566
27,593
27,606
27,693
27,743
27,762
27,766
27,796
27,799
27,806
27,813
27,823
27,836
27,887
28,187
29,55
29,147
29,312
29,566
29,635
29,728
29,796
29,811
29,950
29,995
30,14
30,34
30,205
30,234
31,49
31,200
31,318
31,393
31,766
31,794
31,796
31,811
31,995
32,271
32,341
32,796
32,876
33,45
33,85
33,93
33,110
33,125
33,389
33,412
33,430
33,515
33,638
33,763
33,770
33,785
34,317
34,566
34,645
35,120
35,319
35,811
36,234
36,857
37,995
38,55
38,234
38,566
38,645
38,728
38,794
39,0
39,61
39,234
39,291
39,491
39,743
39,811
39,884
40,129
40,807
40,938
40,963
41,476
42,40
42,49
42,118
42,124
42,168
42,234
42,575
42,613
42,642
42,709
42,766
42,795
42,888
42,936
43,22
43,29
43,55
43,109
43,126
43,183
43,217
43,234
43,271
43,319
43,327
43,352
43,382
43,404
43,436
43,441
43,635
43,645
43,794
43,807
43,811
43,993
43,995
44,87
44,106
44,122
44,141
44,152
44,193
44,239
44,497
44,632
44,674
44,752
44,909
44,944
44,959
45,33
45,234
46,40
46,126
46,696
46,790
46,978
47,114
47,152
47,234
47,394
47,998
48,13
48,158
48,169
48,394
48,652
48,884
49,53
49,55
49,120
49,141
49,195
49,251
49,389
49,403
49,414
49,537
49,870
49,885
49,901
49,944
50,743
50,951
51,540
51,635
51,706
51,746
51,995
52,221
52,562
53,995
54,85
54,120
54,152
54,169
54,189
54,291
54,411
54,512
55,536
56,157
56,291
56,766
56,855
56,888
57,0
57,55
57,126
57,233
57,234
57,395
57,667
57,789
57,811
58,11
58,152
58,319
58,394
58,491
58,580
58,764
58,790
58,968
59,0
59,44
59,46
59,95
59,120
59,152
59,157
59,183
59,194
59,222
59,242
59,276
59,363
59,364
59,372
59,437
59,444
59,455
59,515
59,559
59,562
59,574
59,596
59,635
59,690
59,766
59,781
59,794
59,811
59,828
59,901
59,938
59,955
59,963
59,964
59,972
60,114
60,175
60,179
60,182
60,209
60,492
60,595
60,630
60,664
60,667
60,782
61,28
61,55
61,120
61,572
61,847
62,34
62,39
62,63
62,126
62,144
62,221
62,234
62,341
62,382
62,444
62,500
62,503
62,522
62,543
62,562
62,583
62,635
62,713
62,720
62,756
62,823
62,836
62,861
62,882
62,884
62,886
62,982
62,992
62,995
63,331
63,840
64,11
64,53
64,98
64,126
64,157
64,169
64,186
64,303
64,319
64,352
64,591
64,739
64,794
64,968
65,34
65,171
65,596
66,11
66,49
66,55
66,61
66,93
66,104
66,153
66,169
66,170
66,224
66,319
66,382
66,395
66,465
66,478
66,491
66,500
66,606
66,635
66,642
66,699
66,705
66,725
66,764
66,766
66,794
66,804
66,876
66,934
66,968
67,24
67,118
67,234
67,346
67,635
67,653
67,667
68,108
68,257
68,296
68,394
68,560
68,593
68,743
68,966
69,126
69,169
69,766
70,34
70,218
70,596
70,645
70,761
70,794
70,857
70,879
71,114
71,196
71,219
71,645
71,664
72,55
72,114
72,372
72,395
72,635
72,667
72,979
74,404
75,34
75,49
75,55
75,114
75,118
75,120
75,133
75,152
75,183
75,234
75,251
75,309
75,323
75,358
75,423
75,437
75,593
75,702
75,766
75,773
75,796
75,817
75,934
75,942
75,968
76,836
76,982
77,380
77,864
77,895
77,897
78,55
78,596
78,720
78,811
78,813
78,969
79,55
79,126
79,193
80,34
80,43
80,60
80,85
80,120
80,743
80,794
81,0
81,55
81,394
81,635
81,728
81,743
81,836
82,126
82,352
83,34
83,126
83,234
83,311
83,329
83,596
83,606
83,656
83,732
83,966
84,26
84,53
84,291
84,394
84,420
84,476
84,790
84,884
84,963
85,234
85,491
85,606
85,743
85,938
85,950
85,995
86,85
86,98
86,169
86,251
86,303
86,319
86,393
86,405
86,491
86,617
86,648
86,794
86,811
86,813
86,834
86,876
86,879
86,897
86,938
86,987
86,995
87,164
87,295
87,813
87,907
88,28
88,55
88,118
88,215
88,234
88,269
88,395
88,484
88,811
88,991
89,8
89,11
89,104
89,110
89,389
89,656
90,95
91,269
91,905
92,572
92,743
93,55
93,85
93,130
93,394
93,515
93,969
93,995
94,2
94,57
94,71
94,110
94,124
94,151
94,152
94,185
94,193
94,205
94,207
94,291
94,309
94,332
94,358
94,360
94,363
94,394
94,396
94,462
94,481
94,507
94,538
94,591
94,614
94,654
94,658
94,710
94,716
94,740
94,766
94,773
94,796
94,837
94,848
94,852
94,938
94,976
95,292
95,676
95,760
95,813
95,929
96,122
96,461
96,818
97,109
97,164
97,211
97,455
97,457
97,564
97,888
98,203
98,234
98,600
99,0
99,195
99,232
99,319
99,351
99,476
99,554
99,580
99,692
99,743
99,833
99,929
100,238
100,488
100,510
100,580
100,692
100,701
100,746
100,779
100,871
101,53
101,55
101,57
101,109
101,157
101,193
101,394
101,959
102,303
103,11
103,98
103,303
103,352
103,491
103,515
103,728
103,794
103,811
103,884
104,55
104,234
104,275
104,381
104,635
104,885
104,963
105,49
105,55
105,118
105,120
105,299
105,327
105,566
105,709
105,783
105,811
105,855
105,873
106,234
106,929
107,85
107,183
107,404
107,485
107,746
107,907
108,34
108,81
108,275
108,503
108,586
108,606
108,958
108,995
109,23
109,50
109,126
109,154
109,229
109,291
109,303
109,540
109,637
109,649
109,706
109,743
109,813
109,938
109,966
110,26
110,89
110,152
110,186
110,327
110,336
110,352
110,394
110,569
110,655
110,716
110,725
110,740
110,819
110,993
111,13
111,120
111,152
111,468
112,39
112,127
112,198
112,273
112,291
112,319
112,321
112,444
112,500
112,535
112,631
112,823
112,861
113,57
113,118
113,124
113,152
113,291
113,303
113,394
113,481
113,635
113,656
113,658
113,743
114,40
114,246
114,566
114,645
114,766
114,811
115,118
115,152
115,234
115,319
115,793
116,703
116,781
116,803
116,893
117,728
119,53
119,204
119,412
119,803
120,95
120,123
120,169
120,303
120,382
120,468
120,500
120,562
120,585
120,606
120,683
120,748
120,813
120,943
121,2
121,77
121,135
121,207
121,369
121,503
121,540
121,692
121,746
121,808
121,809
121,813
121,833
121,954
122,491
122,811
123,13
123,748
123,780
123,995
124,34
124,49
124,55
124,115
124,118
124,174
124,186
124,234
124,291
124,317
124,327
124,358
124,385
124,394
124,395
124,560
124,566
124,596
124,642
124,645
124,699
124,733
124,743
124,771
124,794
124,796
124,837
124,846
124,864
124,888
124,993
125,49
125,120
125,319
125,487
125,488
125,753
125,876
126,39
126,666
126,705
126,965
127,286
128,28
128,118
128,163
128,395
128,566
128,572
128,635
128,667
128,702
128,743
128,779
128,872
128,943
129,34
129,234
129,596
129,740
129,783
129,796
129,864
130,29
130,49
130,61
130,120
130,186
130,234
130,291
130,369
130,394
130,569
130,635
130,746
130,766
130,796
130,836
130,888
131,11
131,114
131,394
131,792
131,885
131,951
131,963
132,0
132,34
132,169
132,268
132,303
132,405
132,506
132,533
132,596
132,743
132,746
132,865
132,929
132,934
132,988
132,995
133,55
133,292
134,807
134,948
135,34
135,82
135,164
135,169
135,405
135,423
135,462
135,515
135,596
135,683
135,755
135,805
135,813
135,961
136,29
136,39
136,77
136,79
136,325
136,341
136,382
136,463
136,500
136,503
136,506
136,526
136,554
136,599
136,705
136,706
136,809
136,836
136,897
136,928
136,997
137,55
137,319
137,358
137,409
137,566
137,728
137,796
138,34
139,107
139,496
139,786
139,814
139,893
140,57
140,66
140,126
140,169
140,234
140,291
140,382
140,482
140,713
140,766
140,794
140,982
141,126
141,319
141,491
141,575
142,0
142,55
142,573
142,764
142,792
142,885
142,957
143,62
143,85
143,139
143,191
143,298
143,315
143,440
143,506
143,542
143,543
143,580
143,660
143,668
143,683
143,696
143,699
143,755
143,799
143,970
143,976
144,606
144,803
144,893
145,266
146,169
146,254
146,311
146,352
147,59
147,109
147,126
147,170
147,175
147,293
147,393
147,478
147,794
147,796
147,917
148,15
148,55
148,368
149,93
149,126
149,739
150,77
150,121
150,169
150,234
150,303
150,319
150,583
151,49
151,55
151,218
151,743
151,857
151,995
152,49
152,61
152,473
152,766
152,876
153,39
153,500
153,631
153,666
153,678
153,836
153,982
154,120
154,482
154,499
154,505
154,575
154,988
155,0
155,18
155,195
155,381
155,409
155,774
155,957
156,57
156,205
156,394
156,395
156,551
156,773
157,992
158,11
158,126
158,394
158,583
158,968
159,303
159,491
159,884
160,435
161,531
161,566
161,728
161,730
161,796
161,844
162,399
162,851
163,34
163,126
163,229
163,234
163,240
163,274
163,743
163,775
164,55
164,234
164,356
164,567
164,572
164,596
164,811
164,945
165,10
165,450
165,503
166,369
166,394
167,152
167,158
167,234
167,291
167,395
167,491
167,540
167,606
167,743
167,794
167,857
167,910
168,53
168,743
169,491
169,995
170,152
171,88
171,495
171,703
171,706
171,786
171,950
171,995
172,132
172,352
172,796
172,811
173,423
173,766
174,101
174,120
174,172
174,193
174,243
174,562
174,757
175,341
175,982
176,107
176,120
176,126
176,291
176,319
176,462
176,705
176,813
176,993
177,11
177,358
177,364
177,560
177,796
177,811
178,11
178,35
178,55
178,92
178,93
178,114
178,120
178,122
178,148
178,157
178,201
178,234
178,243
178,270
178,306
178,319
178,369
178,394
178,466
178,482
178,603
178,611
178,635
178,691
178,752
178,825
178,870
178,894
178,898
178,955
178,959
178,968
179,394
180,19
180,34
180,106
180,129
180,130
180,169
180,192
180,338
180,683
180,857
181,34
181,49
181,85
181,169
181,183
181,303
181,330
181,501
181,517
181,562
181,586
181,751
181,753
181,763
181,912
181,958
181,995
182,29
182,49
182,126
182,234
182,287
182,447
183,104
183,118
183,248
183,319
183,340
183,728
184,11
184,169
184,291
184,303
184,319
184,381
184,389
184,591
184,683
184,813
184,884
184,920
184,938
184,988
185,39
185,503
185,599
186,55
186,234
186,394
186,395
186,572
186,847
187,18
188,0
188,55
188,282
188,303
188,319
188,491
188,885
189,98
189,126
189,264
189,794
189,995
190,122
190,247
190,300
190,322
190,397
190,885
191,13
191,243
191,388
191,411
191,462
191,780
191,813
191,833
191,884
191,963
192,118
192,369
192,564
192,857
193,614
193,825
194,17
194,22
